p_entry_type,p_rsi_thresh,p_tranche2_drop,p_target1,p_target2,p_stop_pct,p_entry_hour_cut,p_max_sessions,total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,num_trades,win_rate_pct,avg_win_usd,avg_loss_usd,n_entries,pct_entered
vwap_reclaim,30,0.02,0.05,0.12,0.1,16,1,0.93,0.18,0.063,-11.0,146,59.59,48.19,-69.48,146,88.5
vwap_reclaim,30,0.02,0.05,0.12,0.1,16,2,15.13,2.76,0.424,-16.81,164,64.63,85.69,-130.52,164,99.4
vwap_reclaim,30,0.02,0.05,0.12,0.1,16,3,29.51,5.12,0.594,-18.84,165,63.03,123.98,-162.99,165,100.0
vwap_reclaim,30,0.02,0.05,0.12,0.12,12,1,4.05,0.77,0.211,-6.08,130,61.54,49.47,-71.06,130,78.8
vwap_reclaim,30,0.02,0.05,0.12,0.12,12,2,13.4,2.46,0.396,-15.2,162,64.2,82.69,-125.16,162,98.2
vwap_reclaim,30,0.02,0.05,0.12,0.12,12,3,21.8,3.88,0.443,-21.29,165,61.82,122.46,-163.67,165,100.0
vwap_reclaim,30,0.02,0.05,0.12,0.12,14,1,4.96,0.94,0.251,-6.9,139,61.15,49.06,-68.03,139,84.2
vwap_reclaim,30,0.02,0.05,0.12,0.12,14,2,14.47,2.65,0.421,-15.24,164,64.63,82.72,-126.23,164,99.4
vwap_reclaim,30,0.02,0.05,0.12,0.12,14,3,25.93,4.56,0.51,-21.32,165,62.42,124.28,-164.63,165,100.0
vwap_reclaim,30,0.02,0.05,0.12,0.12,16,1,0.93,0.18,0.063,-11.0,146,59.59,48.19,-69.48,146,88.5
vwap_reclaim,30,0.02,0.05,0.12,0.12,16,2,13.85,2.54,0.383,-17.9,164,64.63,85.69,-132.71,164,99.4
vwap_reclaim,30,0.02,0.05,0.12,0.12,16,3,26.42,4.63,0.506,-22.28,165,63.03,123.98,-168.07,165,100.0
vwap_reclaim,30,0.02,0.05,0.12,0.15,12,1,4.05,0.77,0.211,-6.08,130,61.54,49.47,-71.06,130,78.8
vwap_reclaim,30,0.02,0.05,0.12,0.15,12,2,18.18,3.28,0.564,-11.1,162,64.2,82.69,-116.93,162,98.2
vwap_reclaim,30,0.02,0.05,0.12,0.15,12,3,23.2,4.11,0.494,-20.18,165,61.82,122.46,-161.45,165,100.0
vwap_reclaim,30,0.02,0.05,0.12,0.15,14,1,4.96,0.94,0.251,-6.9,139,61.15,49.06,-68.03,139,84.2
vwap_reclaim,30,0.02,0.05,0.12,0.15,14,2,19.25,3.46,0.589,-11.13,164,64.63,82.72,-117.99,164,99.4
vwap_reclaim,30,0.02,0.05,0.12,0.15,14,3,27.33,4.78,0.564,-20.2,165,62.42,124.28,-162.38,165,100.0
vwap_reclaim,30,0.02,0.05,0.12,0.15,16,1,0.93,0.18,0.063,-11.0,146,59.59,48.19,-69.48,146,88.5
vwap_reclaim,30,0.02,0.05,0.12,0.15,16,2,18.63,3.36,0.535,-13.81,164,64.63,85.69,-124.48,164,99.4
vwap_reclaim,30,0.02,0.05,0.12,0.15,16,3,28.76,5.01,0.587,-20.39,165,63.03,123.98,-164.22,165,100.0
vwap_reclaim,30,0.02,0.05,0.15,0.1,12,1,4.05,0.77,0.211,-6.08,130,61.54,49.47,-71.06,130,78.8
vwap_reclaim,30,0.02,0.05,0.15,0.1,12,2,14.43,2.64,0.433,-14.31,162,64.2,82.69,-123.38,162,98.2
vwap_reclaim,30,0.02,0.05,0.15,0.1,12,3,23.72,4.2,0.495,-18.81,165,61.82,122.46,-160.62,165,100.0
vwap_reclaim,30,0.02,0.05,0.15,0.1,14,1,4.96,0.94,0.251,-6.9,139,61.15,49.06,-68.03,139,84.2
vwap_reclaim,30,0.02,0.05,0.15,0.1,14,2,15.5,2.82,0.457,-14.35,164,64.63,82.72,-124.44,164,99.4
vwap_reclaim,30,0.02,0.05,0.15,0.1,14,3,27.85,4.86,0.564,-18.84,165,62.42,124.28,-161.53,165,100.0
vwap_reclaim,30,0.02,0.05,0.15,0.1,16,1,0.93,0.18,0.063,-11.0,146,59.59,48.19,-69.48,146,88.5
vwap_reclaim,30,0.02,0.05,0.15,0.1,16,2,15.13,2.76,0.424,-16.81,164,64.63,85.69,-130.52,164,99.4
